id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform
2737,1563,Global Social Chain,GSC,global-social-chain,1,2018-05-15T15:49:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x228ba514309ffdf03a81a205a6d040e429d6e80c'}"
2739,1151,Digix Gold Token,DGX,digix-gold-token,1,2018-05-15T15:49:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4f3afec4e5a3f2a6a1a411def7d7dfe50ee057bf'}"
2742,1731,Sakura Bloom,SKB,sakura-bloom,1,2018-05-15T15:54:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x4af328c52921706dcb739f25786210499169afe6'}"
2745,2577,Joint Ventures,JOINT,joint-ventures,1,2018-09-17T19:59:17.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x347c099f110ca6761779329d2879957b606b6ace'}"
2746,8749,GreenPower,GRN,greenpower,1,2018-05-21T14:29:25.000Z,2023-06-07T04:29:00.000Z,
2748,875,Oxen,OXEN,oxen,1,2018-05-21T14:29:25.000Z,2023-06-07T04:29:00.000Z,
2752,2548,Datarius Credit,DTRC,datarius-credit,1,2018-05-21T14:29:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xc20464e0c373486d2b3335576e83a218b1618a5e'}"
2757,1004,Callisto Network,CLO,callisto-network,1,2018-05-22T17:04:26.000Z,2023-06-07T04:29:00.000Z,
2758,705,Unibright,UBT,unibright,1,2018-05-21T14:34:25.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e'}"
2760,1862,Cred,LBA,libra-credit,1,2018-05-22T17:04:26.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xfe5f141bf94fe84bc28ded0ab966c16b17490657'}"
2762,1834,Open Platform,OPEN,open-platform,1,2018-05-22T17:04:27.000Z,2023-06-07T04:29:00.000Z,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9d86b1b2554ec410eccffbf111a6994910111340'}"
